id;ferme_libelle;photo;photo_content_type
1;clutter;../fake-data/blob/hipster.png;image/png
2;heartfelt;../fake-data/blob/hipster.png;image/png
3;puzzle retell;../fake-data/blob/hipster.png;image/png
4;even;../fake-data/blob/hipster.png;image/png
5;nervously jest;../fake-data/blob/hipster.png;image/png
6;mmm yippee offensively;../fake-data/blob/hipster.png;image/png
7;realistic unto unlined;../fake-data/blob/hipster.png;image/png
8;supreme;../fake-data/blob/hipster.png;image/png
9;comfortable pint externalize;../fake-data/blob/hipster.png;image/png
10;thin blah;../fake-data/blob/hipster.png;image/png
