id;parcelle_libelle;photo;photo_content_type
1;hm so;../fake-data/blob/hipster.png;image/png
2;voluntarily;../fake-data/blob/hipster.png;image/png
3;though before silly;../fake-data/blob/hipster.png;image/png
4;up messenger duh;../fake-data/blob/hipster.png;image/png
5;a;../fake-data/blob/hipster.png;image/png
6;ideal;../fake-data/blob/hipster.png;image/png
7;after reek;../fake-data/blob/hipster.png;image/png
8;yet;../fake-data/blob/hipster.png;image/png
9;modulo between;../fake-data/blob/hipster.png;image/png
10;that sushi;../fake-data/blob/hipster.png;image/png
