id;plante_libelle;racine;photo;photo_content_type
1;afore drat;why ew by;../fake-data/blob/hipster.png;image/png
2;pish really;hoist gosh;../fake-data/blob/hipster.png;image/png
3;impersonate;bowed recipe geez;../fake-data/blob/hipster.png;image/png
4;er inasmuch upon;solidly however;../fake-data/blob/hipster.png;image/png
5;imperturbable;eek;../fake-data/blob/hipster.png;image/png
6;obvious past;uh-huh whether;../fake-data/blob/hipster.png;image/png
7;poll monthly;intensely barring;../fake-data/blob/hipster.png;image/png
8;advanced whenever circa;powder after yummy;../fake-data/blob/hipster.png;image/png
9;warmly hm;likewise inspiration;../fake-data/blob/hipster.png;image/png
10;and;channel mortified bah;../fake-data/blob/hipster.png;image/png
